gene_id,gene_name,treatment,log2FC,pvalue,padj
DEMO_001,DEMO_GENE_A,Salt_Stress,3.2,0.0005,0.001
DEMO_002,DEMO_GENE_B,Salt_Stress,-2.1,0.003,0.008
DEMO_003,DEMO_GENE_C,Salt_Stress,1.5,0.015,0.03
DEMO_004,DEMO_GENE_D,Salt_Stress,0.8,0.08,0.12
DEMO_005,DEMO_GENE_E,Salt_Stress,-0.5,0.2,0.25
DEMO_006,DEMO_FACTOR_F,Salt_Stress,2.8,0.001,0.003
DEMO_007,DEMO_KINASE_G,Salt_Stress,-1.8,0.006,0.015
DEMO_008,DEMO_RECEPTOR_H,Salt_Stress,1.2,0.04,0.07
DEMO_009,DEMO_TRANSPORTER_I,Salt_Stress,-3.5,0.0001,0.0005
DEMO_010,DEMO_ENZYME_J,Salt_Stress,0.3,0.5,0.6
